taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,14411,37072,78097,22617,55618,14635,39140,10766,33526,46595,3814,41283,16180,34999,65787,0,0,21725,0,4,0,11536,2,2,2,2666,4,0,0,0,0,53,0,27453,0,0,0,10929,14993,0,0,0,0,0,0,8642,0,18,0,0
fish,Ammodytes marinus,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0
fish,Anguilla anguilla,10431,25951,17654,9348,31296,5952,4241,8443,6729,16802,902,19191,38297,29297,26826,821,46,5782,0,7752,0,0,12504,0,6,0,18312,0,1007,0,21,6425,4,0,14,0,0,11,28396,0,0,100319,0,0,0,0,3,21,0,5
fish,Aphia minuta,2,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4361,33643,0,13680,0
fish,Arnoglossus laterna,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36398,0,0,0,9673,0
fish,Barbatula barbatula,0,2,2,0,2587,6,0,2030,0,2800,0,5182,4193,7549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,9189,1078,7571,2639,6,6505,2,2,3049,4160,72,0,2,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,4,2,0,0,0,0
fish,Buglossidium luteum,0,0,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,7897,0,0,0,0,0,0,5,2,0,12,0,0,0,0,0,0,0,0,0,23153,2073,0,0,0,0,0,23141,28940,50011,15287,94727
fish,Chelon labrosus,0,0,0,0,67,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11136,2861,0,0,0,0,53455,33622,83,0,0,0,0,0,20095,0,3,17,0,0,0,0,0,0,0,0,0,3,0,2
fish,Ciliata mustela,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,21,0,0,0
fish,Clupea harengus,19,0,30,0,3,25,0,13,3,26,0,15,0,31,9,4151,33767,0,72784,13448,29,2,25538,6869,75,29979,87805,154857,49484,106365,76560,0,34181,32349,57090,2,0,11,4,0,65844,81808,0,0,160,0,87,375,0,0
fish,Conger conger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5841,0,0,0,0,0,0,0,0,0,0,0
fish,Cottus gobio,0,1457,0,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Cyprinus carpio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
fish,Dicentrarchus labrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9164,0,0,0,0,0,8045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Echiichthys vipera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8394,0,0,22453,0,0,0,0,0,0,2
fish,Engraulis encrasicolus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Esox lucius,0,7047,11040,0,14360,102,0,0,11035,18874,0,56,2317,9210,19896,0,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gasterosteus aculeatus,9312,9931,0,5741,7466,6805,11212,0,1676,0,7558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gobio gobio,1739,13758,20795,11182,13061,34537,14803,16835,14756,37250,34,43302,5271,20561,3160,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,16,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gymnocephalus cernua,8536,0,5304,1990,21986,12600,4310,5115,4068,6080,1368,12324,9297,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
fish,Lampetra fluviatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Leuciscus idus,39,406,1003,41,461,314,397,245,414,394,0,90,177,151,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Leuciscus leuciscus,0,8,8,0,6,12747,0,4642,0,0,84,2740,0,13,19,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Limanda limanda,0,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0,0
fish,Lipophrys pholis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6483,0,0,0,0
fish,Melanogrammus aeglefinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3669,0,0,0,0,0,6664,0,34362,29013,0
fish,Merlangius merlangus,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,7078,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Osmerus eperlanus,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
fish,Perca fluviatilis,6431,12082,23802,0,15462,6427,51616,6165,2973,0,0,0,3828,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
fish,Phoxinus phoxinus,2294,2684,3,1173,7775,7038,10434,0,1340,3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Platichthys flesus,0,2783,16,0,3,0,0,0,0,4,213,27,37,0,10,5815,103367,94096,20202,57359,23875,4355,57422,17691,16115,0,20574,30340,14209,0,19388,6146,24301,61905,50564,0,72893,73545,167624,2302,10688,2350,76221,0,142089,5828,89649,96973,9530,46807
fish,Pomatoschistus microps,0,46,0,5,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,21,21,40,0,11,0,2,0
fish,Pomatoschistus minutus,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,0,0,20254,0,0,0,0,0,3,33642,19,0,0,2,0,0,0,0,0,0,0,0,0,0,2
fish,Rutilus rutilus,37766,93457,135273,76212,98288,115016,72331,59574,150392,125831,11737,63174,115427,64695,57343,982,7491,17,31,0,0,5841,13,10327,0,0,22155,0,0,0,37,504187,12425,13009,29,0,0,0,0,0,0,0,0,0,21,0,0,23,0,0
fish,Salmo trutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
fish,Solea solea,0,22,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17617,0,0,0,0,0,0,18830,36769,56830,2228,0,0,12714,0,0,7401,69851,22595,10456,208670
fish,Sprattus sprattus,0,0,21,3,12,0,0,0,0,27,0,32,0,8,0,0,28777,0,10,0,4,0,58,7416,3749,6,5,27,16,2,0,0,0,0,5,0,0,17,8,0,0,78,0,0,28912,0,16311,74650,8,28
fish,Squalius cephalus,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Thymallus thymallus,0,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Trisopterus luscus,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,21272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41566,0,0,0,0,0,0,0,0,32751,0,0,0,0,0
