taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,2558,0,39803,0,7,97,9,70472,52068,7,2984,473,87271,25234,6108,0,0,0,0,46869,9,15,9,13,19,0,3,3,62,3,12,0,8,0,0,42,22,31,28,12,0,6,0,0,0,0,0,13,2,2
fish,Anguilla anguilla,9946,22694,198343,0,86244,2,73028,29167,2,26,86087,36,38196,56257,18939,0,3,36,0,19,0,209,20593,17384,0,68170,11,3,0,3,0,2,32399,0,0,6,0,0,30900,0,11,0,0,12,0,0,0,57,0,11306
fish,Aphia minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Arnoglossus laterna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Barbus barbus,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,8889,0,0,0,2,0,0,3,0,0,7,2,2,0,2,0,0,0,0,0,0,2,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
fish,Buglossidium luteum,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,25,0,0,0,84,0,0,0,0,0,0,0,0,0,0,40,42,105,39,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Chelon labrosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,115199,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0
fish,Ciliata mustela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0
fish,Clupea harengus,0,0,0,0,0,0,83,0,130,10,0,0,0,0,0,9066,0,368,0,0,114,13418,0,30768,62984,141,0,15420,58,286,36128,0,68053,2354,0,0,0,0,0,0,0,0,0,0,16523,64919,25499,53,101700,0
fish,Conger conger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0
fish,Cottus gobio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
fish,Cyprinus carpio,0,8937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Echiichthys vipera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Esox lucius,0,27161,0,0,0,0,109611,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
fish,Gadus morhua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3244,0,0,0,0,0
fish,Gasterosteus aculeatus,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,2561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
fish,Gobio gobio,0,0,0,0,0,0,3,2,6,4,103378,11,13,21999,23,0,0,2,0,0,0,0,2,0,0,8,0,0,2,0,0,0,5,0,0,13,0,0,4,0,2,0,0,0,0,0,0,0,0,0
