taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,12819,12214,16278,10477,11720,8022,7381,4901,9737,9470,14911,8703,8478,6900,8233,0,0,2165,0,0,1461,0,4744,0,0,0,824,2423,0,0,3562,0,593,1492,1479,2631,0,3741,0,0,0,0,0,0,0,0,0,0,0,0
fish,Ammodytes marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3340,0,0,0,1252,0,0,0,0,0,0,0,0,0,0
fish,Anguilla anguilla,3390,3210,10086,2209,536,2356,673,5229,2067,1641,1072,844,1177,871,1540,0,0,4288,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193,0,0,0,0,0,0,0,0,0,0
fish,Aphia minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Barbatula barbatula,3705,3680,1335,2005,3455,4326,1478,572,852,878,1925,623,1461,1508,4397,0,6901,0,3263,0,0,0,0,0,0,0,1355,0,0,0,0,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,0,316,659,0,535,0,440,0,175,0,643,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Buglossidium luteum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Ciliata mustela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2827,507,0,0,0,2,0,16,0,0,0,0,1590,0,584,0,0,0,0,0,0,0,4717,0,1812
fish,Clupea harengus,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3335,0,0,0,1369,0,1838,0,3215,4,0,1326,6131,0,1512,0,6,750,8,4,0,0,0,0,0,0,0,0,0,0,4624,0,0,2286
fish,Cottus gobio,358,1187,1207,1141,1649,330,45,315,1580,633,47,1526,689,417,0,0,0,0,0,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Cyprinus carpio,438,465,0,0,724,0,0,0,671,227,0,290,0,0,0,0,5731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Dicentrarchus labrax,0,67,0,167,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Esox lucius,380,736,134,712,533,0,282,3360,363,332,134,0,88,128,0,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gadus morhua,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,1648,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,267,0,2110,2,0,2,0,4,2,0,0,0,0
fish,Gasterosteus aculeatus,8208,18902,21292,7553,15739,5655,9701,12780,11651,17185,3376,4344,6977,8005,16062,0,0,0,2769,0,0,2935,2394,0,0,0,0,6,6234,0,0,0,0,0,0,0,0,0,0,0,0,0,2923,0,6035,0,0,0,0,0
fish,Gobio gobio,1501,5455,7912,4313,6125,2304,1538,4347,4688,3342,2150,4575,2199,4349,4318,0,0,0,0,3059,0,0,0,0,0,6207,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,0
fish,Gymnocephalus cernua,0,1110,0,0,0,0,0,0,362,0,226,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Lampetra fluviatilis,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
fish,Leuciscus idus,90,86,208,49,66,41,27,20,25,22,136,102,82,27,84,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Leuciscus leuciscus,572,983,782,0,0,263,665,2254,255,1427,427,2519,575,1311,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Limanda limanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,108,4845,2453,0,0,0,5784,2953,6149,3783,2854,0,0
fish,Merlangius merlangus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817,14,0,770,0,0,1587,655,0,0,7,0,0,2769,0,0,16,351,2080,3398,975,0,2683,3158,9189,0,0,7755,6192,5814,21512,9075,7310,14909,2258
fish,Merluccius merluccius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Perca fluviatilis,1124,1274,2402,233,511,623,0,2409,505,491,604,299,1523,343,548,0,0,0,0,0,0,0,0,0,5255,0,0,0,0,0,0,2435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Phoxinus phoxinus,10383,9032,9962,4196,6204,5421,3271,10526,4744,5208,6104,5177,3364,3822,4412,0,0,0,851,439,0,2178,1014,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,12829,3281,0,0,0,0,1463,0,0
fish,Platichthys flesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18074,2725,10115,12255,682,7554,4586,0,1676,0,5459,2987,0,4629,7676,0,3028,3819,807,1006,2031,0,1467,4194,348,0,0,6568,36,16932,22,4409,0,6017,6507
fish,Pollachius pollachius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,0,2,2,0,0,0
fish,Pomatoschistus microps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Pomatoschistus minutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7293,0,3760,2826,0,0,0,641,0,42,0,2,0,1220,281,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Pungitius pungitius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Rutilus rutilus,18791,54292,38953,13883,24048,20851,17569,13258,17828,18441,16239,15571,14739,15607,22664,3793,2411,10212,0,1887,528,0,3422,0,0,0,283,694,0,4637,1795,555,0,2183,0,0,0,0,3253,1914,0,0,0,0,0,0,5532,0,0,0
fish,Salmo salar,40,0,196,0,0,0,0,0,0,604,101,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Salmo trutta,1400,2162,5057,147,1468,3818,298,1106,301,4101,1256,2188,2608,536,1853,0,0,3046,4987,0,0,1209,10139,0,0,0,0,1817,1939,0,0,0,64,0,0,0,0,0,0,0,0,0,2699,0,0,0,0,0,0,0
