taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,6188,3745,7955,10336,4521,10289,6077,7912,4789,5661,1372,7459,9441,2596,17138,2630,2717,3508,8668,3965,0,6975,2132,4423,5336,0,10335,16172,0,1408,3996,50,3182,7598,4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Agonus cataphractus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Ammodytes marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3038,6526,8074,2740,0,3101,9227,2550,6939,4851,0,1602,0,3678,0
fish,Anguilla anguilla,1589,1066,1570,1554,1877,2497,0,377,4228,844,1868,1284,5205,0,3108,3042,4180,0,1194,195,0,1485,0,2315,0,4175,0,11,1756,0,3070,0,15,0,0,0,0,0,3235,0,0,0,0,0,0,0,0,0,0,0
fish,Barbatula barbatula,160,0,1176,2898,0,1130,0,2,259,0,603,1113,756,11,1929,0,0,0,2050,2017,0,1669,0,0,0,0,0,0,0,0,0,0,0,0,3639,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0
fish,Barbus barbus,0,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,0,0,0,0,0,346,3,0,0,0,0,3402,0,507,1581,0,0,0,0,0,1271,1698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Chelon labrosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Ciliata mustela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1348,0,0,0,0,0,0,29,3,0,47,6,0,0,0,0,13555,0,0,1234,0,347,0,0,0,0,0,0
fish,Clupea harengus,0,0,0,0,0,17,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,7285,16,0,0,0,0,0,0,0,0,0,192,0,2858,818,0,26,0,319,91
fish,Cottus gobio,1911,0,0,1027,698,1105,950,2507,2310,0,3491,4666,1245,1157,497,0,2249,302,4024,0,0,0,0,884,0,0,0,0,0,1011,0,0,5348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Cyprinus carpio,503,899,331,522,0,205,0,1229,0,0,0,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Dicentrarchus labrax,0,0,421,1145,0,0,1035,0,0,0,3144,881,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4710,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
fish,Esox lucius,344,0,0,0,0,1186,0,0,0,442,0,832,37,1327,0,0,0,0,4839,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3983,0,0,0,0,0,6,0,0,5,0,0
fish,Gadus morhua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1328,350,0,0,0,644,0,0,0
fish,Gasterosteus aculeatus,1168,1388,5022,4668,894,4501,3463,3986,4140,4185,8443,7585,5475,9629,6652,4540,4633,5356,7171,1548,0,1141,18011,2588,11058,1465,0,0,5574,0,0,0,2391,878,0,0,5057,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gobio gobio,5022,1531,3250,4482,3036,3639,4173,2034,1539,835,2812,5084,1418,0,2606,1216,0,377,0,0,4543,3146,0,0,2139,4067,4876,0,0,0,0,7086,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gymnocephalus cernua,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Leuciscus idus,4,0,0,0,4,5,7,6,4,8,5,0,2,0,0,0,0,0,0,0,0,22,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Leuciscus leuciscus,1742,0,0,549,745,0,0,0,1541,0,243,0,0,0,0,116,0,501,0,0,0,0,1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Limanda limanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,40,19,10,6,0,0,0,0,0,0,0,573,0,0,0,0,0,0,490,0
