taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,13731,8879,13322,10931,18183,7912,14623,15695,27779,31628,16225,20621,34821,23030,21963,4768,3735,732,0,0,0,0,0,4986,0,0,6877,0,36772,4198,11492,0,688,202,4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Ammodytes marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2993,0,1949,0,0,0,0,0,0,7321,1298,0,0,0,0,469,664,0,526,1432,15503,2937,16375,10947,6624,53123,58426,33338,40417,33942,49206,44933,87363,65058,50560
fish,Anguilla anguilla,3262,1220,2522,1772,1214,0,5229,1678,3800,3819,680,1315,5815,2349,3038,0,0,0,0,0,0,0,0,0,0,0,13,0,2641,0,1841,0,0,781,2719,0,0,0,0,0,1677,0,0,0,0,0,0,1435,0,0
fish,Barbatula barbatula,289,201,0,3139,1576,467,1419,2687,3634,3816,319,3,759,1879,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3643,0,20,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Barbus barbus,0,0,0,0,0,0,0,1156,0,0,0,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,0,1265,951,0,255,0,0,0,0,0,10232,9,7,0,6,0,0,0,0,0,0,0,0,0,0,13,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Buglossidium luteum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
fish,Chelidonichthys cuculus,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Chelon labrosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,301,0,0,0,0,0,0,0,415,0,0,0,0
fish,Ciliata mustela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,197,0,0,1961,0,0,0,0,0,0,1086,0
fish,Clupea harengus,0,0,0,0,0,0,0,0,0,0,0,0,29,0,42,0,8032,0,0,2860,0,3588,41,0,16578,765,0,3319,0,1139,0,3357,245,2640,1941,0,0,40,0,0,16,0,0,3487,0,0,2422,3204,11384,5443
fish,Cottus gobio,1378,0,0,2573,909,701,835,994,311,2396,391,2049,2437,365,0,0,0,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,7,0,0
fish,Cyprinus carpio,0,796,804,0,0,0,145,0,877,0,326,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Dicentrarchus labrax,0,0,0,0,0,0,383,0,0,0,327,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,0
fish,Esox lucius,0,1727,1423,1452,0,931,57,80,1838,1382,0,936,1546,1478,5360,6916,5326,0,0,0,0,0,0,0,0,0,0,0,0,1889,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gadus morhua,0,0,0,0,0,0,0,0,0,0,0,0,2,0,625,0,0,0,0,0,0,0,0,0,0,0,0,682,0,0,0,0,0,0,0,0,2398,1615,0,0,0,0,2,0,878,0,0,0,2,0
fish,Gasterosteus aculeatus,19403,6890,5207,8061,3266,1713,9894,11904,8440,7981,14331,7970,26887,11901,4239,0,3112,4588,2539,0,0,0,0,0,0,0,10,4010,1094,1013,3606,3170,137,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gobio gobio,8339,6998,3583,3415,3372,6401,3838,6979,5804,6729,3971,5211,8282,4433,2342,0,0,3903,0,0,0,3321,0,0,0,386,0,0,2,0,0,469,0,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gymnocephalus cernua,0,417,0,0,0,1389,734,49,0,0,99,430,0,0,379,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Lampetra fluviatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
fish,Leuciscus idus,192,98,207,35,98,58,56,82,167,313,45,12,191,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Leuciscus leuciscus,5145,3846,982,435,0,470,539,3945,2211,146,1508,1680,1509,591,2557,0,0,0,0,0,0,0,0,0,0,5,0,2748,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Limanda limanda,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,2237,2075,1842,470,1455,2616,5232,982,164,9816
fish,Lipophrys pholis,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,0,3024,0,0,0,0,0,0,0,0,1272,0,0
fish,Melanogrammus aeglefinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,12,6,6,0,0,4,8,9,0
fish,Merlangius merlangus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4018,1455,380,2680,2053,0,14915,1819,3456,0,50,4404,0,0,0,0,943,144,1201,0,4373,5928,2553,5956,3135,13808,8573,4148,7353,4314,1843,6028,4488,3596,8277
fish,Osmerus eperlanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6719,0,0,0,0,0,0,65,0,0,118,56,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0
fish,Perca fluviatilis,3097,1932,3595,0,1264,1230,1542,3652,4578,6290,678,2035,13398,4718,4049,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Phoxinus phoxinus,7141,6927,8093,7176,1671,993,4802,2880,3934,10007,4266,5072,9601,3986,6205,0,0,1713,0,6485,0,0,0,0,0,0,0,1713,0,0,0,327,144,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
fish,Platichthys flesus,0,0,0,0,0,0,0,0,0,0,16,0,20,0,50,6362,17306,701,5170,12590,0,0,2441,3589,7,0,985,0,1010,3932,5132,0,989,1679,1204,1773,781,2520,6356,0,0,0,504,1798,1441,1063,4224,5249,4043,38
fish,Pleuronectes platessa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0
fish,Pollachius pollachius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,491,0,0,0,0,0,0
fish,Pomatoschistus microps,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Pomatoschistus minutus,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1120,0,0,0,0,0,1039,0,0,0,0,0,0,0,721,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,0
fish,Pungitius pungitius,0,0,0,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Rutilus rutilus,40999,32252,26026,16963,25326,72822,33848,15573,31099,40332,30370,34929,56381,26323,35630,0,2798,1936,5713,0,0,0,2437,0,0,633,6827,1324,3826,2971,8151,606,530,1245,2256,0,0,0,0,0,0,0,206,0,0,0,895,0,0,1881
fish,Salmo salar,0,0,854,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Salmo trutta,0,2674,1275,0,567,1055,539,4250,2095,0,1036,869,1945,3103,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Scomber scombrus,0,0,0,2,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,0,0,0,0,0,0,0,0
fish,Solea solea,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,995,2018,0,1329,2721,0,0,0,0
fish,Sprattus sprattus,0,0,0,4,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,2752,0,0,0,0,0,0,2919,265,5
fish,Squalius cephalus,798,2,1398,0,1517,0,924,824,2,2773,12,2763,621,0,569,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Symphodus melops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4309,0,0,0
