taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,17,0,80760,20119,64124,9242,2,24959,18034,9722,58050,36159,68,3704,3,56423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,590,418,334,384,0,0,6,0,0,0,0,15,23,0,4,0,0,0,0
fish,Ammodytes marinus,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,120805,0,0,38067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
fish,Anguilla anguilla,28,0,0,0,29827,44229,0,23965,0,39157,107217,12775,27,12824,13,0,0,45554,0,0,0,0,0,0,0,0,2,0,0,29,0,15621,0,0,7,0,19890,0,0,0,0,0,3,49,0,70,0,0,0,0
fish,Aphia minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,236,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Barbatula barbatula,0,0,0,0,0,0,0,0,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,0,0,28693,0,25409,4608,0,2,18061,3,78819,2,6,20648,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Buglossidium luteum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,85,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,3,0,0,0,0,0
fish,Chelon labrosus,0,0,0,0,0,0,0,0,0,0,5,25,0,6,0,0,25577,58411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
fish,Ciliata mustela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39345,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1313,0,0,0,0,0
fish,Clupea harengus,0,0,0,0,0,15,0,0,0,3,49,214,296,82,64,70388,0,105461,65537,6855,0,0,0,0,0,0,150,0,0,170,0,29835,0,0,0,0,15371,0,167,0,0,0,0,411,0,37,21,46,44193,0
fish,Conger conger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
fish,Dicentrarchus labrax,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
fish,Echiichthys vipera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51601,0,6,0,0,0,0,0
fish,Esox lucius,0,0,71501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gasterosteus aculeatus,0,0,0,0,0,12296,0,0,0,0,0,68,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,2,12,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
fish,Gobio gobio,0,0,0,0,0,20986,0,0,2,0,22747,0,3,6128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,18,24,10,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gymnocephalus cernua,0,0,0,0,0,3,0,0,0,37823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Leuciscus idus,0,0,0,0,0,0,0,0,0,0,504,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Leuciscus leuciscus,0,0,120,75,46,60,0,13880,78,16,9,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Melanogrammus aeglefinus,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20678,0,0,0,0,10,0,0,0,0,0
fish,Mustelus asterias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
fish,Perca fluviatilis,2,17940,0,0,40820,0,0,26990,0,0,92479,4835,120,8142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
