taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,32,2754,0,7418,18486,17267,29445,4423,2,16311,17569,22,4,6,22,0,0,0,0,0,0,2,0,14,36,0,7,11,7,2,0,0,0,0,0,0,0,38,0,0,23,27,18,16,15,0,5,9,0,9
fish,Ammodytes marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21533,0,0,0,0,0,11352,0,26617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13218,0,0,0,40087,0
fish,Anguilla anguilla,13,0,6,26368,0,36537,16940,3815,0,12667,0,11,0,0,0,33088,3,0,0,0,0,13222,0,55,0,0,115463,0,0,47442,16932,41,0,0,0,2,0,31717,0,38517,0,0,0,3,0,0,7,0,0,4
fish,Aphia minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
fish,Barbatula barbatula,0,0,0,0,0,4499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,25683,881,0,0,4656,4638,9953,4384,0,0,2,21256,0,0,16791,0,0,0,2,2,57,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0
fish,Buglossidium luteum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,8,5,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9
fish,Chelon labrosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,0,0,0,12520,58114,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
fish,Ciliata mustela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7948,0,0,19,0,0,0,29991,0,0,0,0,0,15441,0,0,0,0,85256,0,0,0
fish,Clupea harengus,45,16,7,13,9,0,2,0,0,0,0,0,0,0,0,26354,12365,33934,8193,0,4,6500,15174,3,2028,8933,19930,0,13617,38641,42,87078,309,93,39621,0,0,33627,57060,277,0,66,0,210,10223,0,0,4,131,613
fish,Dicentrarchus labrax,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12411,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Esox lucius,0,866,0,0,0,941,15655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3
fish,Gasterosteus aculeatus,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5
fish,Gobio gobio,4,7885,0,0,1078,10407,0,1723,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,2,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gymnammodytes semisquamatus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Gymnocephalus cernua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
fish,Leuciscus leuciscus,0,0,0,0,0,67,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Lipophrys pholis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Melanogrammus aeglefinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27158,0,0,19982,0,6,0,5931,0,0,3,0,18482,0,0,0,0,0,14700,0,12749,4,29177,0
fish,Osmerus eperlanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
fish,Perca fluviatilis,0,5692,7228,1510,0,36414,32732,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0
fish,Phoxinus phoxinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
fish,Platichthys flesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12673,3384,20661,19395,33349,9,5912,536,1224,81792,13488,86445,54286,12731,51009,108995,72558,27676,12371,68044,24567,0,0,19940,3029,34085,15640,0,0,10937,0,135471,72506,0,0
fish,Pomatoschistus microps,0,0,0,0,0,0,0,0,0,0,7,31,20,24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15816,0,33300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
fish,Pomatoschistus minutus,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,4567,0,0,7938,0,5,0,3,3,2,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
fish,Rutilus rutilus,150572,25115,21371,61235,5424,172599,122059,27737,28548,14602,47400,44482,29541,34961,100101,0,0,0,0,0,283,35,18,102,0,0,33,31,24750,16,0,25,0,0,0,0,0,42,35,0,0,0,0,0,0,0,6,12,0,20
fish,Salmo trutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
