taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,37904,13309,19120,18800,14470,10453,12239,26398,25416,12341,6897,17095,2978,21484,14130,0,2,0,0,221,0,0,0,0,1277,24,4766,0,0,0,0,0,0,1746,0,0,0,9503,0,18674,0,0,0,0,0,124,67,116,130,39
fish,Ammodytes marinus,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1020,0,4,1263,0,0,0,0,0,6,0,11,0,2952,6670,0,16862,0,13195,0,0,0,0,0,0,0,0
fish,Anguilla anguilla,2457,0,2032,2120,2388,2919,1597,3489,8148,13055,24,4645,200,0,3741,6,4,0,4424,293,0,6328,0,0,0,82,9,22,35,28,0,0,0,10,0,0,5997,31,0,9,0,0,0,3,0,46,0,8,24,0
fish,Aphia minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0
fish,Barbatula barbatula,2119,0,2,0,1307,1678,1935,735,1223,0,694,0,421,1786,0,0,0,0,0,361,0,0,4236,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,842,1002,2,2087,2454,0,0,1204,0,2091,0,2557,348,551,982,0,2,2,0,0,0,0,0,0,0,31,0,0,9,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Buglossidium luteum,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29343,846,0,0,0,0,0,0
fish,Carassius carassius,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Chelon labrosus,0,0,0,0,0,10,57,10,0,0,0,0,0,0,2,0,0,0,0,1277,0,0,0,0,0,10,5,0,6,0,4,9,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0
fish,Ciliata mustela,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,9,471,0,928,0,0,0
fish,Clupea harengus,8,5,7,19,0,10,83,75,16,54,0,0,0,0,2,0,0,0,0,0,30,28,55,0,4600,48,79,110,21,36,45,30,4396,19,12,0,0,0,0,0,10,0,32,12,0,0,0,0,2603,93
fish,Conger conger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
fish,Cottus gobio,0,1884,4464,13114,1128,0,2254,2627,4983,0,1821,0,1152,2181,0,0,0,0,2934,236,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3419,0,0
fish,Crystallogobius linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
