taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,87450,177004,138358,145874,185002,220167,328449,223230,174319,206750,309524,233785,270947,320360,159775,17700,6938,36152,8832,2015,0,3,4,0,0,5229,0,0,26,22614,3,2,11,9130,14713,52,97,57,54,62,0,0,0,0,0,0,0,0,0,0
fish,Ammodytes marinus,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15175,0,0,0,0,0,0,16,0,0,0,0,0,0,2,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,15456,0,0,0,0
fish,Anguilla anguilla,6874,2698,7561,777,0,0,15568,1590,1340,2094,17,15631,1164,20,2779,17576,10776,41,2649,41,0,0,3,0,14849,14177,0,19627,0,0,51226,11986,138673,147757,134861,0,0,0,0,0,0,9,50,0,24,0,0,0,0,0
fish,Aphia minuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Arnoglossus laterna,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Barbatula barbatula,362,1214,0,270,2316,0,0,0,3686,1440,0,1646,0,0,0,33158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
fish,Barbus barbus,0,0,1056,0,0,0,0,0,0,0,0,0,4208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,4172,5,0,1397,13,0,9,0,0,2,5180,4,0,0,0,8,0,0,6,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
fish,Buglossidium luteum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48602,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,14152,0,11633,0,0,0,40140,72459,80053,0,77701,34384
fish,Chelidonichthys cuculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Chelon labrosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16681,0,2886,3,0,0,0,0,0,12649,25708,0,0,0,41630,0,0,17284,10421,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
fish,Ciliata mustela,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5419,0,0,0,0,0,78179,0,0,0
fish,Clupea harengus,10,34,0,9,20,0,0,2,0,0,0,0,0,0,0,25877,110445,143993,43144,38945,122837,73806,0,0,79508,215579,135497,57869,107973,54998,207645,122231,180530,50965,104139,0,10,0,0,3983,308,0,0,0,0,119,0,36539,240,0
fish,Cyprinus carpio,0,0,0,0,3,0,0,2,0,0,0,2275,1709,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1517,0,0,0,0,2,0,0,0,0,0,0,0,0
fish,Dicentrarchus labrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21210,0,0
