Site,Replicate,Zone
U1,1,Freshwater
U1,2,Freshwater
U1,3,Freshwater
U1,4,Freshwater
U1,5,Freshwater
U2,1,Freshwater
U2,2,Freshwater
U2,3,Freshwater
U2,4,Freshwater
U2,5,Freshwater
U3,1,Freshwater
U3,2,Freshwater
U3,3,Freshwater
U3,4,Freshwater
U3,5,Freshwater
C1,1,Mixed
C1,2,Mixed
C1,3,Mixed
C1,4,Mixed
C1,5,Mixed
C2,1,Mixed
C2,2,Mixed
C2,3,Mixed
C2,4,Mixed
C2,5,Mixed
C3,1,Mixed
C3,2,Mixed
C3,3,Mixed
C3,4,Mixed
C3,5,Mixed
C4,1,Mixed
C4,2,Mixed
C4,3,Mixed
C4,4,Mixed
C4,5,Mixed
L1,1,Marine
L1,2,Marine
L1,3,Marine
L1,4,Marine
L1,5,Marine
L2,1,Marine
L2,2,Marine
L2,3,Marine
L2,4,Marine
L2,5,Marine
L3,1,Marine
L3,2,Marine
L3,3,Marine
L3,4,Marine
L3,5,Marine
