taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,901,8375,4239,4287,10970,1976,4054,5698,3595,3686,0,8740,1489,7647,3996,0,0,0,5628,0,2,0,0,0,1609,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0
fish,Ammodytes marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659,0,12,8,5,3,0,0,0,0,0,0,3,11,22,16,11,0,0,0,13597,0
fish,Anguilla anguilla,0,1653,686,5280,799,1567,980,356,2843,0,9281,0,2604,8418,2262,0,0,0,14854,0,12088,0,7336,3947,0,0,0,0,4618,0,0,0,0,0,0,6984,0,0,0,0,0,1226,0,0,0,0,0,0,0,0
fish,Barbatula barbatula,0,2115,873,425,368,284,248,0,1741,1660,0,0,0,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,0,0,0,0,0,13507,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
fish,Barbus barbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,0,0,422,0,0,1327,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
fish,Chelidonichthys cuculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23269,0,0,0,0
fish,Ciliata mustela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6987,0,0,0,0,12994,0,0,0,18110,0
fish,Clupea harengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35817,0,0,17500,0,0,0,0,17704,4023,0,0,1670,0,0,0,0,0,0,0,0,0,2092,0,0,0,0,0,0,0,18765,12997,0
fish,Cottus gobio,390,1521,241,2894,1142,1193,247,0,685,3769,0,0,0,0,1755,0,0,0,0,0,2,0,1238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
