taxon,species,U1,U1,U1,U1,U1,U2,U2,U2,U2,U2,U3,U3,U3,U3,U3,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,L1,L1,L1,L1,L1,L2,L2,L2,L2,L2,L3,L3,L3,L3,L3
fish,Abramis brama,27887,36204,20955,44510,74949,5812,38862,20387,7483,24703,0,0,9438,2,5900,0,0,0,0,0,0,7712,0,0,2,0,0,1488,0,2226,11427,13260,0,0,495,0,1756,0,0,0,2758,0,0,0,0,4988,0,4,0,5568
fish,Agonus cataphractus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4151,0,0
fish,Ammodytes marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,4,0,0,0,0,0,0,0,0,0,0,0,3021,0,0,0,0,37514,0,0,0,0
fish,Anguilla anguilla,10087,26097,12474,7045,7446,3170,5459,50364,4377,19837,0,0,0,0,34087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6708,0,0,0,0,0,8509,0,0,0,0,3747,0,0,5469,0,0,28033,0,0
fish,Atherina boyeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Barbatula barbatula,0,0,0,1984,12853,4356,4,17628,0,5099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1402,0,0,0,0,4133,0,0,0,0
fish,Barbus barbus,0,12591,0,7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,Blicca bjoerkna,13250,2,9452,11787,22,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2064,0,4,0,0
fish,Ciliata mustela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637,2582,1713,0,16942,0,0,27173,0,39165,1979,62
fish,Clupea harengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,0,0,0,0,0,0,0,0,46956,0,0,0,0,0,19640,13841,9339,0,0,0,0,0,0,0,0,0,8562,11,165,71126,14599,5021,6107,0
